isolate,rank,nichemoisture,optimalmoisture,decomplow,decompmid,decomphigh,hyphae,decomplowday,decompmidday,decomphighday,nichetemperature,optimaltemperature,SpeciesGroup
Armillaria gallica 1,0.23,3.01,0.89,4.07,10.21,17.12,0.25,3.41,8.82,15.38,24.7,25,2
Armillaria gallica 2,0.16,2.08,0.78,3.2,1.89,15.42,0.35,2.67,1.56,13.72,13.3,29.8,2
Armillaria gallica 3,0.23,3.71,0.92,2.94,6.09,11,0.21,2.45,5.15,9.55,24.4,25.1,2
Armillaria gallica 4,0.23,4.3,0.85,3.78,7.23,12.3,0.25,3.16,6.15,10.75,24.3,25.8,2
Armillaria gallica 5,0.37,2.57,0.9,2.35,5.9,9.2,0.25,1.95,4.98,7.91,18.2,23.9,2
Armillaria gallica 6,0,4.15,0.68,2.03,0.11,39.51,0.4,1.68,0.09,41.12,16.2,25.7,2
Armillaria gallica 7,0.16,2.36,0.84,2.29,1.92,9.26,0.25,1.90,1.59,7.96,15.4,29.9,2
Armillaria gallica 8,0.4,2.04,0.41,2.18,0.34,10.78,0.76,1.81,0.28,9.35,9.3,26.2,2
Armillaria sinapina,0.37,1.74,0.36,1.72,6.76,8.28,0.77,1.42,5.74,7.08,16,26.4,2
Armillaria tabescens N,0.37,3.43,0.62,3.56,0.14,13.28,0.5,2.97,0.11,11.67,18.2,27.6,2
Armillaria tabescens S,0,1.32,0.27,2.83,3.67,12.75,1.07,2.35,3.06,11.17,15.8,24.7,1
Fomes fomentarius,0.28,1.19,0.24,10.41,21.26,47.24,4.71,9.01,19.57,52.27,9.3,27.3,3
Hyphodontia crustosa,0.57,1.19,0.23,4.29,13.38,13.62,0.93,3.59,11.77,11.99,23.2,25.6,1
Hyphoderma setigerum N,0.75,1.19,0.26,5.64,6.28,12.45,4.11,4.76,5.31,10.89,12.5,26.8,3
Hyphoderma setigerum S,0.57,1.38,0.56,2.67,5.63,18.82,4.7,2.22,4.75,17.08,9.7,26.7,3
Laetiporus confericola,0.28,1.22,0.56,2.29,20.28,7.6,5.16,1.90,18.56,6.48,12.1,27.1,3
Lentinus crinitus,0.57,1.55,0.31,3.47,9.3,16.01,6.38,2.89,8.00,14.29,17.8,33.8,3
Myacoacia meridionalis,0.57,1.19,0.23,2.16,5.67,7.96,1.3,1.79,4.78,6.80,12.9,25.8,1
Merulius tremullosus,0.79,1.19,0.26,22.78,32.27,53.5,10.62,21.17,31.89,62.57,17.6,30.4,4
Merulius tremellosus,0.84,1.24,0.28,13.52,15.95,43.91,9.62,11.90,14.23,47.28,18.2,30.3,4
Phlebiopsis flavidoalba N,0.59,1.57,0.33,11.18,18.52,27.94,8.04,9.71,16.77,26.82,16.2,30.7,3
Phlebiopsis flavidoalba S,0.99,2.54,0.58,6.4,8.89,25.93,10.8,5.42,7.63,24.57,17,27.4,4
Phellinus gilvus,0.46,1.4,0.6,5.15,19.47,42.09,4.04,4.33,17.73,44.68,18.6,31.5,3
Phellinus hartigii,0.49,1.57,0.65,2.3,12.86,17.39,1.54,1.91,11.28,15.65,18.6,19.1,1
Porodisculus pendulus,0.46,1.24,0.64,2.61,2.43,4.36,4.06,2.17,2.02,3.65,15,26.4,3
Phellinus robiniae N,0.52,1.53,0.63,3.68,4.52,8.28,2.3,3.07,3.79,7.08,12.3,30.2,1
Phellinus robiniae S,0.23,1.48,0.62,2.22,6.12,26.29,2.14,1.84,5.18,24.97,11.8,28.7,1
Phlebia acerina N,1,1.19,0.24,11.88,24.59,16.18,8.75,10.36,23.11,14.46,17.7,27.7,4
Phlebia acerina S,0.97,1.28,0.71,5.97,21.1,73.39,8.51,5.04,19.41,107.93,18.6,26.6,4
Pycnoporus sanguineus,0.7,1.71,0.57,4.44,18.3,37.43,4.97,3.72,16.55,38.36,17.9,37.8,3
Schizophyllum commune N,0.66,2.2,0.73,3.92,2.02,12.69,4.41,3.28,1.67,11.12,19.3,32.2,2
Schizophyllum commune S,0.59,2.32,0.82,2.55,3.32,6.87,2.57,2.12,2.77,5.83,14,32.8,2
Tyromyces chioneus,0.81,1.19,0.22,5.35,16.74,29.06,3.88,4.51,15.01,28.10,14.6,30.6,3
Xylobolus subpileatus,0.49,4.96,0.88,2.17,7.45,8.55,0.77,1.80,6.34,7.32,28.5,22.2,2